job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
288520,株式会社 OPTEMO,自社SaaSプロダクトAIエンジニア募集！｜大規模データ活用/自社プロダクト/フルリモート・フルフレックス,AIエンジニア,['フルリモート'],"['Python', 'Go', 'React', 'TypeScript', 'AWS', 'Docker', 'MySQL', 'Azure', 'Lambda', 'Fargate']",23,2020-06-30 15:00:00,500,1000.0,750.0
287865,AIタレントフォース 株式会社,AI Engineer｜AIエンジニア（外国籍歓迎）,AIエンジニア,['東京都'],"['C#', 'JavaScript', 'SQL', 'PHP', 'Ruby', 'Java', 'Python', 'Ruby on Rails', 'AWS', 'MySQL', 'PostgreSQL', 'Azure', 'Oracle', 'GCP']",20,2024-07-31 15:00:00,400,900.0,650.0
80992,Baseconnect 株式会社,【社員】AIエンジニア,AIエンジニア,['京都府'],"['Python', 'AWS']",80,2016-12-31 15:00:00,650,1200.0,925.0
292390,ＧＭＯメディア 株式会社,"データサイエンティスト,データエンジニア",データサイエンティスト,['東京都'],"['SQL', 'Python', 'AWS', 'GCP']",175,2000-09-30 15:00:00,552,800.0,676.0
83190,株式会社 データフォーシーズ,金融系データサイエンティスト　プロジェクトリーダー候補,データサイエンティスト,['東京都'],"['Python', 'R']",195,2005-09-30 15:00:00,700,1000.0,850.0
173246,株式会社 ベネフィット・ワン,データ基盤構築エンジニア,その他,['東京都'],['SQL'],1192,1996-02-29 15:00:00,500,1200.0,850.0
181907,ファインディ 株式会社,データエンジニア（メンバー）,データエンジニア,['東京都'],"['SQL', 'Python', 'AWS', 'Docker', 'MySQL', 'Jupyter', 'GCP', 'Redis']",229,2016-06-30 15:00:00,650,800.0,725.0
124582,株式会社 アイビス,【東京】AIエンジニア,AIエンジニア,['東京都'],"['C#', 'C', 'C++', 'Python']",334,2000-04-30 15:00:00,500,900.0,700.0
286392,Hmcomm 株式会社,データサイエンティスト,データサイエンティスト,['東京都'],"['Python', 'AWS', 'MySQL', 'PostgreSQL', 'IoT', 'Azure', 'Oracle', 'pandas', 'GCP']",40,2012-06-30 15:00:00,500,800.0,650.0
285989,弥生 株式会社,エンジニア（データプロダクト推進部）※リモート可,その他,"['東京都', '神奈川県', '千葉県', '埼玉県', '茨城県', '栃木県', '群馬県']","['Python', 'AWS', 'MySQL', 'Apache', 'Lambda', 'Spark']",937,1978-11-30 15:00:00,600,910.0,755.0
264107,株式会社 ワントゥーテン,AIエンジニア(データアーキテクト),AIエンジニア,"['東京都', '京都府']","['Python', 'R', 'AWS', 'Docker', 'TensorFlow', 'Azure', 'GCP', 'Flask']",110,2009-06-30 15:00:00,500,700.0,600.0
247201,エン・ジャパン 株式会社,データエンジニア,データエンジニア,"['東京都', 'フルリモート']","['SQL', 'Python', 'AWS', 'Lambda', 'GCP']",2135,1999-12-31 15:00:00,600,1500.0,1050.0
273943,株式会社 MonotaRO,データサイエンティスト（マネージャー候補）,データサイエンティスト,"['東京都', '大阪府']",[],3351,2000-09-30 15:00:00,800,1500.0,1150.0
260396,株式会社 エーピーコミュニケーションズ,データ分析基盤エンジニア,データエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県']","['AWS', 'Azure']",432,1995-10-31 15:00:00,500,700.0,600.0
124582,株式会社 アイビス,【東京】AIエンジニア,AIエンジニア,['東京都'],"['C#', 'C', 'C++', 'Python']",334,2000-04-30 15:00:00,500,900.0,700.0
278809,株式会社 メロン,データサイエンティスト,データサイエンティスト,"['東京都', '神奈川県', '千葉県', '埼玉県', 'フルリモート']","['SQL', 'Python', 'AWS', 'TensorFlow', 'Azure', 'pandas', 'GCP', 'Matplotlib', 'scikit-learn']",6,2022-05-31 15:00:00,500,1500.0,1000.0
260396,株式会社 エーピーコミュニケーションズ,データ分析基盤エンジニア,データエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県']","['AWS', 'Azure']",432,1995-10-31 15:00:00,500,700.0,600.0
290379,株式会社 アイスタイル,【istyle】データエンジニア,データエンジニア,['東京都'],"['Python', 'AWS', 'Lambda']",1079,1999-06-30 15:00:00,500,700.0,600.0
223105,株式会社 テクノプロ　テクノプロ・デザイン社,機械学習エンジニア/データやAI利活用提案、PoC、実装まで,AIエンジニア,"['東京都', 'フルリモート']","['C', 'C++', 'JavaScript', 'SQL', 'Python', 'R', 'Node.js', 'React', 'TypeScript', 'Haskell', 'Rust']",8522,1997-05-31 15:00:00,600,900.0,750.0
48772,フュージョン 株式会社,マーケティングアナリスト・データサイエンティスト,データサイエンティスト,['北海道'],"['SQL', 'Python', 'R']",84,,420,550.0,485.0
275435,株式会社 ワンキャリア,シニアデータサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R', 'AWS', 'TensorFlow', 'GCP']",245,2015-07-31 15:00:00,800,1300.0,1050.0
284541,株式会社 GENEROSITY,AI推進エンジニア,その他,['東京都'],[],56,2015-04-30 15:00:00,400,800.0,600.0
287661,株式会社 アラヤ,AI開発エンジニア,AIエンジニア,"['東京都', 'フルリモート']",['Python'],64,2013-11-30 15:00:00,500,800.0,650.0
285407,株式会社 ZENKIGEN,機械学習エンジニア,AIエンジニア,"['東京都', '神奈川県']","['DeepLearning', 'TensorFlow']",72,2017-09-30 15:00:00,600,1200.0,900.0
285532,株式会社 Lupinus,AIエンジニア／AIデータサイエンティスト（社会実装志向）,AIエンジニア,['東京都'],"['Python', 'TensorFlow']",64,2021-07-31 15:00:00,600,2400.0,1500.0
290587,株式会社 ノア,AI駆動開発エンジニア,その他,"['東京都', '神奈川県']",[],8,2017-01-31 15:00:00,450,750.0,600.0
258852,株式会社 Eye Universe,プロンプトエンジニア,その他,['東京都'],[],12,2023-04-30 15:00:00,450,700.0,575.0
227055,PayPayカード 株式会社,【リモートワーク可】データサイエンティスト （与信領域）＠東京or福岡,データサイエンティスト,"['東京都', '福岡県']","['SQL', 'Python']",1249,2014-06-30 15:00:00,500,900.0,700.0
265718,株式会社 Gunosy,機械学習エンジニア　,AIエンジニア,['東京都'],[],260,2012-10-31 15:00:00,650,900.0,775.0
95134,株式会社 スカイウイル,AIエンジニア,AIエンジニア,"['東京都', '神奈川県']","['SQL', 'Python', 'TensorFlow', 'OpenCV', 'Keras', 'Chainer', 'scikit-learn']",409,2002-10-31 15:00:00,350,900.0,625.0
258603,株式会社 サイシード,データ・エンジニア,その他,['東京都'],"['JavaScript', 'Python', 'R', 'TypeScript', 'Docker', 'Vue.js', 'Keras', 'GCP']",40,,600,1200.0,900.0
148397,株式会社 Curious Vehicle,クラウドエンジニア,その他,['東京都'],"['JavaScript', 'SQL', 'Python', 'Django', 'React', 'TypeScript', 'AWS', 'MySQL', 'TensorFlow', 'OpenCV', 'Keras', 'GCP', 'Flask', 'VR']",11,2008-03-31 15:00:00,400,650.0,525.0
